RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~56~Q45~TOC13~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C01,TOC13,Q45,56,AGE,5064,RACE,BLK
BRFSS~2022~2022~56~Q11~TSC11~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-108.10983035299967 43.23554134300048),C03,TSC11,Q11,56,AGE,5064,RACE,NAA
BRFSS~2022~2022~53~Q07~TOC05~AGE~RACE,2022,2022,WA,Washington,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,64.3,64.3,,,53.0,74.1,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),C01,TOC05,Q07,53,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~78~Q33~TOC08~AGE~OVERALL,2022,2022,VI,Virgin Islands,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,73.3,73.3,,,64.3,80.7,Age Group,Overall,,,POINT (-64.896335 18.335765),C01,TOC08,Q33,78,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~9004~Q19~TSC04~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,%,PRCTG,Percentage,83.6,83.6,&,Regional estimates may not represent all states in the region,81.7,85.4,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,C03,TSC04,Q19,9004,AGE,5064,RACE,WHT
BRFSS~2022~2022~9004~Q40~TGC05~AGE~SEX,2022,2022,WEST,West,BRFSS,Caregiving,Provide care for someone with cognitive impairment within the past month,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,%,PRCTG,Percentage,29.4,29.4,&,Regional estimates may not represent all states in the region,26.7,32.2,Age Group,Overall,Sex,Female,,C07,TGC05,Q40,9004,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2022~2022~53~Q15~TSC02~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,%,PRCTG,Percentage,79.5,79.5,,,64.9,89.1,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),C03,TSC02,Q15,53,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~53~Q43~TOC11~AGE~OVERALL,2022,2022,WA,Washington,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,35.3,35.3,,,33.8,36.8,Age Group,50-64 years,,,POINT (-120.47001078999972 47.52227862900048),C01,TOC11,Q43,53,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~53~Q46~TOC10~AGE~RACE,2022,2022,WA,Washington,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,24.8,24.8,,,23.3,26.4,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),C01,TOC10,Q46,53,AGE,5064,RACE,WHT
BRFSS~2022~2022~53~Q36~TGC01~AGE~SEX,2022,2022,WA,Washington,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,%,PRCTG,Percentage,21.8,21.8,,,20.2,23.5,Age Group,65 years or older,Sex,Female,POINT (-120.47001078999972 47.52227862900048),C07,TGC01,Q36,53,AGE,65PLUS,SEX,FEMALE
BRFSS~2022~2022~56~Q20~TSC03~AGE~SEX,2022,2022,WY,Wyoming,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,33.8,33.8,,,30.0,37.8,Age Group,Overall,Sex,Female,POINT (-108.10983035299967 43.23554134300048),C03,TSC03,Q20,56,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2022~2022~55~Q21~TAC03~AGE~SEX,2022,2022,WI,Wisconsin,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,%,PRCTG,Percentage,5.7,5.7,,,4.5,7.1,Age Group,65 years or older,Sex,Female,POINT (-89.81637074199966 44.39319117400049),C04,TAC03,Q21,55,AGE,65PLUS,SEX,FEMALE
BRFSS~2022~2022~54~Q09~TSC09~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-80.71264013499967 38.66551020200046),C03,TSC09,Q09,54,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~51~Q15~TSC02~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,%,PRCTG,Percentage,57.5,57.5,,,43.4,70.4,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-78.45789046299967 37.54268067400045),C03,TSC02,Q15,51,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~54~Q46~TOC10~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-80.71264013499967 38.66551020200046),C01,TOC10,Q46,54,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~9004~Q07~TOC05~AGE~SEX,2022,2022,WEST,West,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,79.6,79.6,,,78.3,80.8,Age Group,Overall,Sex,Male,,C01,TOC05,Q07,9004,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~53~Q21~TAC03~AGE~SEX,2022,2022,WA,Washington,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,%,PRCTG,Percentage,7.5,7.5,,,6.8,8.3,Age Group,Overall,Sex,Female,POINT (-120.47001078999972 47.52227862900048),C04,TAC03,Q21,53,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2022~2022~53~Q10~TSC10~AGE~RACE,2022,2022,WA,Washington,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,43.2,43.2,,,29.8,57.6,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-120.47001078999972 47.52227862900048),C03,TSC10,Q10,53,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~51~Q30~TCC01~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-78.45789046299967 37.54268067400045),C06,TCC01,Q30,51,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~9004~Q12~TSC01~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,78.7,78.7,,,67.4,86.8,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,C03,TSC01,Q12,9004,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~51~Q33~TOC08~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,69.5,69.5,,,63.9,74.5,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-78.45789046299967 37.54268067400045),C01,TOC08,Q33,51,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~51~Q15~TSC02~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-78.45789046299967 37.54268067400045),C03,TSC02,Q15,51,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~78~Q45~TOC13~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-64.896335 18.335765),C01,TOC13,Q45,78,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~55~Q33~TOC08~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,62.4,62.4,,,49.2,74.1,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-89.81637074199966 44.39319117400049),C01,TOC08,Q33,55,AGE,5064,RACE,HIS
BRFSS~2022~2022~53~Q17~TAC01~AGE~SEX,2022,2022,WA,Washington,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,10.4,10.4,,,9.4,11.5,Age Group,Overall,Sex,Male,POINT (-120.47001078999972 47.52227862900048),C04,TAC01,Q17,53,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~55~Q46~TOC10~AGE~SEX,2022,2022,WI,Wisconsin,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",%,PRCTG,Percentage,28.8,28.8,,,25.9,32.0,Age Group,50-64 years,Sex,Male,POINT (-89.81637074199966 44.39319117400049),C01,TOC10,Q46,55,AGE,5064,SEX,MALE
BRFSS~2022~2022~55~Q07~TOC05~AGE~SEX,2022,2022,WI,Wisconsin,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,79.5,79.5,,,77.6,81.3,Age Group,Overall,Sex,Male,POINT (-89.81637074199966 44.39319117400049),C01,TOC05,Q07,55,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~56~Q34~TOC09~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),%,PRCTG,Percentage,67.9,67.9,,,64.6,71.1,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C01,TOC09,Q34,56,AGE,5064,RACE,WHT
BRFSS~2022~2022~9004~Q09~TSC09~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",%,PRCTG,Percentage,56.1,56.1,,,46.2,65.4,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,C03,TSC09,Q09,9004,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~53~Q13~TNC04~AGE~SEX,2022,2022,WA,Washington,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,37.0,37.0,,,34.8,39.4,Age Group,50-64 years,Sex,Male,POINT (-120.47001078999972 47.52227862900048),C02,TNC04,Q13,53,AGE,5064,SEX,MALE
BRFSS~2022~2022~54~Q27~TMC03~AGE~SEX,2022,2022,WV,West Virginia,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,%,PRCTG,Percentage,21.3,21.3,,,17.8,25.1,Age Group,50-64 years,Sex,Male,POINT (-80.71264013499967 38.66551020200046),C05,TMC03,Q27,54,AGE,5064,SEX,MALE
BRFSS~2022~2022~56~Q34~TOC09~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C01,TOC09,Q34,56,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~53~Q08~TOC01~AGE~RACE,2022,2022,WA,Washington,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),Number,MEAN,Mean,4.0,4.0,,,2.7,5.3,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),C01,TOC01,Q08,53,AGE,5064,RACE,BLK
BRFSS~2022~2022~56~Q03~TMC01~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,12.1,12.1,,,10.0,14.6,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-108.10983035299967 43.23554134300048),C05,TMC01,Q03,56,AGE,5064,RACE,WHT
BRFSS~2022~2022~51~Q39~TGC04~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Caregiving,Intensity of caregiving among older adults,Average of 20 or more hours of care per week provided to a friend or family member,%,PRCTG,Percentage,49.1,49.1,,,39.1,59.2,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-78.45789046299967 37.54268067400045),C07,TGC04,Q39,51,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~9004~Q38~TGC03~AGE~OVERALL,2022,2022,WEST,West,BRFSS,Caregiving,Duration of caregiving among older adults,Percentage of older adults who provided care to a friend or family member for six months or more,%,PRCTG,Percentage,74.3,74.3,&,Regional estimates may not represent all states in the region,72.4,76.2,Age Group,Overall,,,,C07,TGC03,Q38,9004,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~9004~Q45~TOC13~AGE~RACE,2022,2022,WEST,West,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,%,PRCTG,Percentage,35.2,35.2,,,26.2,45.3,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,C01,TOC13,Q45,9004,AGE,5064,RACE,BLK
BRFSS~2022~2022~56~Q15~TSC02~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-108.10983035299967 43.23554134300048),C03,TSC02,Q15,56,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~9004~Q18~TSC08~AGE~RACE,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,%,PRCTG,Percentage,60.9,60.9,,,55.2,66.3,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,C03,TSC08,Q18,9004,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~78~Q15~TSC02~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-64.896335 18.335765),C03,TSC02,Q15,78,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~55~Q42~TCC04~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-89.81637074199966 44.39319117400049),C06,TCC04,Q42,55,AGE,5064,RACE,HIS
BRFSS~2022~2022~51~Q34~TOC09~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-78.45789046299967 37.54268067400045),C01,TOC09,Q34,51,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~51~Q07~TOC05~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-78.45789046299967 37.54268067400045),C01,TOC05,Q07,51,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~9004~Q35~TOC03~AGE~SEX,2022,2022,WEST,West,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,Number,MEAN,Mean,5.9,5.9,,,5.4,6.4,Age Group,65 years or older,Sex,Male,,C01,TOC03,Q35,9004,AGE,65PLUS,SEX,MALE
BRFSS~2022~2022~54~Q13~TNC04~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,41.2,41.2,,,39.2,43.3,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-80.71264013499967 38.66551020200046),C02,TNC04,Q13,54,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~51~Q13~TNC04~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,39.2,39.2,,,36.4,42.2,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-78.45789046299967 37.54268067400045),C02,TNC04,Q13,51,AGE,5064,RACE,WHT
BRFSS~2022~2022~78~Q43~TOC11~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,38.1,38.1,,,21.6,57.9,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-64.896335 18.335765),C01,TOC11,Q43,78,AGE,5064,RACE,BLK
BRFSS~2022~2022~56~Q10~TSC10~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-108.10983035299967 43.23554134300048),C03,TSC10,Q10,56,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~53~Q33~TOC08~AGE~SEX,2022,2022,WA,Washington,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",%,PRCTG,Percentage,80.7,80.7,,,78.8,82.5,Age Group,50-64 years,Sex,Female,POINT (-120.47001078999972 47.52227862900048),C01,TOC08,Q33,53,AGE,5064,SEX,FEMALE
BRFSS~2022~2022~55~Q08~TOC01~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),Number,MEAN,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-89.81637074199966 44.39319117400049),C01,TOC01,Q08,55,AGE,5064,RACE,ASN
BRFSS~2022~2022~50~Q17~TAC01~AGE~SEX,2022,2022,VT,Vermont,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,13.0,13.0,,,10.8,15.6,Age Group,Overall,Sex,Male,POINT (-72.51764079099962 43.62538123900049),C04,TAC01,Q17,50,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~78~Q19~TSC04~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-64.896335 18.335765),C03,TSC04,Q19,78,AGE,5064,RACE,HIS
BRFSS~2022~2022~9004~Q03~TMC01~AGE~RACE,2022,2022,WEST,West,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,%,PRCTG,Percentage,8.5,8.5,,,6.4,11.2,Age Group,65 years or older,Race/Ethnicity,Hispanic,,C05,TMC01,Q03,9004,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~56~Q45~TOC13~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,%,PRCTG,Percentage,45.8,45.8,,,30.0,62.5,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-108.10983035299967 43.23554134300048),C01,TOC13,Q45,56,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~55~Q18~TSC08~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-89.81637074199966 44.39319117400049),C03,TSC08,Q18,55,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~50~Q20~TSC03~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Screenings and Vaccines,Pap test within past 3 years,Percentage of older adult women with an intact cervix who had a Pap test within the past 3 years,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-72.51764079099962 43.62538123900049),C03,TSC03,Q20,50,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~51~Q27~TMC03~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-78.45789046299967 37.54268067400045),C05,TMC03,Q27,51,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~56~Q21~TAC03~AGE~RACE,2022,2022,WY,Wyoming,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-108.10983035299967 43.23554134300048),C04,TAC03,Q21,56,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~78~Q13~TNC04~AGE~RACE,2022,2022,VI,Virgin Islands,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-64.896335 18.335765),C02,TNC04,Q13,78,AGE,5064,RACE,WHT
BRFSS~2022~2022~78~Q17~TAC01~AGE~SEX,2022,2022,VI,Virgin Islands,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Sex,Male,POINT (-64.896335 18.335765),C04,TAC01,Q17,78,AGE,AGE_OVERALL,SEX,MALE
BRFSS~2022~2022~54~Q45~TOC13~AGE~RACE,2022,2022,WV,West Virginia,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-80.71264013499967 38.66551020200046),C01,TOC13,Q45,54,AGE,AGE_OVERALL,RACE,ASN
